id	primary_name	total.dois	Unique-dois-in-wikipedia	%Unique-dois-in-wikipedia
597	Entomological Society of America	1	553	55300
681	Society for Endocrinology	1	307	30700
113	International Union of Pure and Applied Chemistry (IUPAC)	3	559	18633.3333333333
989	Baywood Publishing Company, Inc.	8	189	2362.5
1645	Centraalbureau voor Schimmelcultures (CBS)	3	62	2066.66666666667
3298	The University of Hong Kong Libraries	1	19	1900
32	American Society for Clinical Pathology (ASCP)	7	124	1771.42857142857
1258	Society for Freshwater Science	1	16	1600
4980	Alliance for Children and Families	1	14	1400
1238	National Association of Biology Teachers	1	12	1200
2441	Canada-China Clinical Medicine Study Association (CCCMSA)	1	12	1200
1287	Ammons Scientific	56	431	769.642857142857
612	Weed Science Society	26	104	400
1248	University of Arizona Library	20	67	335
792	Ecological Society of America	284	884	311.267605633803
5	American College of Chest Physicians	233	632	271.244635193133
282	Multi-Science Publishing Co. Ltd.	18	39	216.666666666667
11437	Deutscher Arzte-Verlag GmbH	95	194	204.210526315789
1976	Journal of Great Lakes Research	2	4	200
2575	Virtual Worlds Institute, Inc.	1	2	200
5088	Living Reviews	45	82	182.222222222222
1904	ORNL Environmental Sciences Division	5	5	100
3511	National Institute of Practical Analytical Meditation	1	1	100
10637	Journals and Authors Publications	1	1	100
370	Human Factors and Ergonomics Society	40	39	97.5
1028	International Dose-Response Society	21	19	90.4761904761905
4304	International AIDS Society	14	10	71.4285714285714
6026	Wikiversity Journal of Medicine	26	18	69.2307692307692
296	Society for In Vitro Biology	10	6	60
1849	American Cancer Society	387	218	56.3307493540052
2718	Polska Akademia Nauk Instytut Paleobiologii (Institute of Paleobiology, Polish Academy of Sciences)	672	376	55.952380952381
229	American Museum of Natural History (BioOne sponsored)	870	444	51.0344827586207
4177	Fundacao Otorrinolaringologia	2	1	50
8304	VAMP Journal	15	7	46.6666666666667
3488	American Museum of Natural History	11	5	45.4545454545455
8357	Geologica Belgica	17	7	41.1764705882353
1591	Carnegie Museum of Natural History	224	79	35.2678571428571
424	Mars Informatics	23	8	34.7826086956522
1226	Crustacean Society	379	125	32.9815303430079
1742	Field Museum of Natural History	115	37	32.1739130434783
1948	Bulletin of the Peabody Museum of Natural History	150	46	30.6666666666667
2259	International Bee Research Association	60	18	30
7744	Stuttgart State Museum of Natural History	40	12	30
6541	Isomer Design	7	2	28.5714285714286
1605	Museum of Comparative Zoology, Harvard University	77	21	27.2727272727273
5903	Organic Syntheses	2927	793	27.0925862658012
1950	Journal of Vector Ecology	27	7	25.9259259259259
9954	IPO Association of Transplantologists	36	9	25
4531	Adenine Press, Inc.	16	4	25
2726	Smith School of Enterprise and the Environment	4	1	25
1210	Academy of Natural Sciences of Philadelphia	197	49	24.8730964467005
164	Pion Ltd	1287	318	24.7086247086247
11409	Coquina Press	249	61	24.4979919678715
3321	IP Publishing, Ltd.	97	23	23.7113402061856
2066	Biological Survey Foundation	51	12	23.5294117647059
575	American Society of Plant Taxonomists	1318	297	22.5341426403642
2274	Grupo Comunicar	561	123	21.9251336898396
2952	Scholarpedia	975	206	21.1282051282051
4996	Quanta	38	8	21.0526315789474
2884	American Society of Limnology and Oceanography, Inc.	1377	278	20.1888162672476
8627	The Forest Herbarium	20	4	20
6547	Fragmenta Palaeontologica Hungarica	10	2	20
9999	Distill Working Group	10	2	20
1389	The Paleontological Society of Japan	422	84	19.9052132701422
1199	WormBook	202	40	19.8019801980198
1217	American Ornithologists' Union	1737	343	19.7466896948762
2220	Chelonian Research Foundation	132	26	19.6969696969697
1379	Pacific Northwest Fungi Project	112	22	19.6428571428571
828	American Academy of Periodontology (AAP)	730	143	19.5890410958904
2241	Inter-university Consortium for Political and Social Research (ICPSR)	87	17	19.5402298850575
359	Journal of Histochemistry & Cytochemistry (The Histochemical Society)	360	69	19.1666666666667
5447	XML London	68	13	19.1176470588235
8347	HSSA Journal	16	3	18.75
7933	Association Palaeovertebrata	103	19	18.4466019417476
1096	IUCN	116793	21290	18.2288322074097
16043	Ukrainian Pulmonary Journal	11	2	18.1818181818182
1698	Czech Geological Survey	619	110	17.7705977382876
559	International Reading Association	289	51	17.6470588235294
1571	The Biological Society of Washington	562	99	17.6156583629893
327	IM Publications Open LLP	108	19	17.5925925925926
4535	Istituto Superiore di Sanita	40	7	17.5
2084	Naturalis Biodiversity Center	719	124	17.2461752433936
3692	Asociacion Paleontologica Argentina	492	82	16.6666666666667
625	Signaling Pathways Project	97	16	16.4948453608247
2422	Annals of Mathematics, Princeton U	966	156	16.1490683229814
7504	World Tourism Organization (UNWTO)	87	14	16.0919540229885
3569	International Mycological Association (IMA)	200	32	16
5937	Institut Agama Islam Negeri (IAIN) Bengkulu	25	4	16
8170	Discrete Analysis	25	4	16
1218	American Society of Ichthyologists and Herpetologists (ASIH)	2194	344	15.6791248860529
1230	Herpetologists League	902	141	15.6319290465632
3904	Museum National D'Histoire Naturelle	417	65	15.5875299760192
4212	Digital Preservation Coalition	26	4	15.3846153846154
8319	Siberian Research Institute of Geology, Geophysics and Mineral Resources	13	2	15.3846153846154
2013	Missouri Botanical Garden Press	1211	185	15.2766308835673
2397	Institute of Malacology	223	34	15.2466367713004
2776	Lumitext Publishing	20	3	15
1565	East African Natural History Society	274	41	14.963503649635
3213	Mycotaxon, Ltd.	1620	238	14.6913580246914
28	American Society for Biochemistry & Molecular Biology (ASBMB)	112438	16409	14.5938205944609
3209	Museum National d'Histoire Naturelle, Paris, France	892	130	14.5739910313901
242	CABI Publishing	2203	320	14.5256468452111
1989	Co-Action Publishing	996	140	14.0562248995984
3711	Natal Museum of South Africa	245	34	13.8775510204082
1618	Herpetological Society of Japan	94	13	13.8297872340426
1211	American Arachnological Society	1089	146	13.406795224977
2398	American Malacological Society	330	44	13.3333333333333
4827	Council for British Archaeology	579	76	13.126079447323
1619	Mammalogical Society of Japan	555	72	12.972972972973
818	Conservation International	551	70	12.7041742286751
8199	Wildlife Conservation Society	8	1	12.5
1264	Ursus	302	37	12.2516556291391
191	Swets & Zeitlinger Publishers	1990	243	12.2110552763819
341	Proceedings of the National Academy of Sciences	137263	16656	12.1343697864683
11191	4Science	174	21	12.0689655172414
3081	Chinese Birds (Press)	133	16	12.0300751879699
1942	Botanic Garden & Botanical Museum Berlin-Dahlem BGBM	1056	127	12.0265151515152
22	Annual Reviews	45009	5239	11.6398942433735
2534	Sociedade Brasileira de Paleontologia	465	54	11.6129032258065
3642	Southern Med Review	18	2	11.1111111111111
3799	The Journal of Bioscience and Medicine	9	1	11.1111111111111
5609	Surname DNA Journal	9	1	11.1111111111111
1952	Human Biology (The International Journal of Population Biology and Genetics)	343	37	10.7871720116618
1567	Pacific Science	476	51	10.7142857142857
6560	Queensland Museum	28	3	10.7142857142857
10018	Foldtani Kozlony	19	2	10.5263157894737
5831	Society for Sociological Science	96	10	10.4166666666667
1244	Society for Integrative and Comparative Biology	218	22	10.0917431192661
1688	Sherborne Gibbs Ltd.	119	12	10.0840336134454
2267	Green Theory and Praxis: The Journal of Ecopedagogy	10	1	10
9813	Baldwin Wallace University	10	1	10
10332	Register of Qualified Genealogists	10	1	10
10828	Advances Publishing Co, Ltd.	10	1	10
404	BioOne	772	76	9.84455958549223
1245	Society for the Study of Amphibians and Reptiles	1518	146	9.61791831357049
10966	European Association of Cardiothoracic Surgery (EACTS Publishing Ltd)	350	33	9.42857142857143
175	The Royal Society	85973	8065	9.38085212799367
1606	Harvard University Botany Libraries	352	33	9.375
5445	HAU, Journal of Ethnographic Theory	32	3	9.375
1076	American Society for Cell Biology (ASCB)	10421	958	9.19297572209961
7816	ICSC Press, International Center for Studies in Creativity	11	1	9.09090909090909
421	The Society for the Study of Evolution	1838	166	9.03155603917301
2461	SASE (Society for Sustainable Environment)	89	8	8.98876404494382
1967	Regional Euro-Asian Biological Invasions Centre Oy (REABIC)	1291	113	8.75290472501936
9595	Center for the Study of Material and Visual Cultures of Religion	80	7	8.75
1429	Kansas Entomological Society	668	58	8.68263473053892
2671	Mathematical Association of America	1353	117	8.64745011086474
345	Microbiology Society	59656	5157	8.64456215636315
1568	Cactus and Succulent Society of America	857	74	8.63477246207701
1251	Wilson Ornithological Society	2110	182	8.62559241706161
2218	Australian Museum	1641	141	8.59232175502742
11	American Economic Association	9253	772	8.34324003026046
4512	Russell Sage Foundation	120	10	8.33333333333333
5836	Instituto Brasileiro de Inovacao Financeira - IBRIF	12	1	8.33333333333333
8969	Acta Universitatis Gothoburgensis	12	1	8.33333333333333
8969	Acta Universitatis Gothoburgensis	12	1	8.33333333333333
4913	Magnolia Press	21712	1807	8.3225865880619
2390	U.S. Fish and Wildlife Service	533	44	8.25515947467167
638	Alphamed Press	3553	291	8.19026175063327
1250	Waterbird Society	1262	103	8.16164817749604
1236	Kansas Academy of Science	576	47	8.15972222222222
859	GeoScienceWorld	4634	377	8.13552006905481
2258	Pensoft Publishers	18870	1490	7.89613142554319
1745	Museum and Institute of Zoology at the Polish Academy of Sciences	3024	235	7.77116402116402
36	American Society for Pharmacology & Experimental Therapeutics (ASPET)	17770	1376	7.74338773213281
4618	Central European University Press	39	3	7.69230769230769
4299	Science Journal Publications	13	1	7.69230769230769
10369	Open Access Scholarly Publishers Association (OASPA)	13	1	7.69230769230769
10378	Revista Remecs - Revista Multidisciplinar de Estudos Cientificos em Saude	13	1	7.69230769230769
526	Aquatic Mammals Journal	831	62	7.46089049338147
961	Cornell Laboratory of Ornithology	1628	121	7.43243243243243
8858	Suomalaisen Kirjallisuuden Seura	54	4	7.40740740740741
1822	Centers for Disease Control and Prevention (CDC)	11526	852	7.39198334200937
2824	Entomological Society of Washington	683	50	7.32064421669107
2826	Freshwater Biological Association (BioOne sponsored)	82	6	7.31707317073171
7981	Actual Problems of Theory and History of Art	96	7	7.29166666666667
1361	University of Zagreb - University Computing Centre	55	4	7.27272727272727
1593	Brazilian Herpetological Society	331	24	7.25075528700906
