langfile:page_id	page_title	rev_id	timestamp	type	id
afwiki.tsv:86272	Sauropoda	1560968	2017-06-15T03:31:46Z	doi	10.7717/peerj.36
afwiki.tsv:99138	Brontosaurus	1343842	2015-04-09T12:31:57Z	doi	10.7717/peerj.857
afwiki.tsv:99141	Apatosaurus	1343876	2015-04-09T15:28:53Z	doi	10.7717/peerj.857
afwiki.tsv:99142	Diplodocidae	1343885	2015-04-09T16:46:01Z	doi	10.7717/peerj.857
arwiki.tsv:14617	طائر	20059177	2016-06-06T11:31:16Z	doi	10.7717/peerj.1032
arwiki.tsv:14622	طب بيطري	26263149	2017-12-24T17:57:45Z	doi	10.7717/peerj.1649
arwiki.tsv:178848	دودو	22122654	2017-01-09T05:45:14Z	doi	10.7717/peerj.1432
arwiki.tsv:987619	تصوير طبقي مبرمج مكروي	26225488	2017-12-23T23:22:37Z	doi	10.7717/peerj.2188
arwiki.tsv:2860074	فيروس إيبولا	16927284	2015-09-08T18:11:46Z	doi	10.7717/peerj.556
arwiki.tsv:2903535	ماموث صوفي	20741661	2016-08-07T16:59:42Z	doi	10.7717/peerj.318
arwiki.tsv:2920520	تورياصور	26232089	2017-12-24T10:49:57Z	doi	10.7717/peerj.3217
arwiki.tsv:2921304	أمفيسيلياس	17276000	2015-10-20T05:55:13Z	doi	10.7287/peerj.preprints.838v1
arwiki.tsv:3002438	نيجرصور	17785986	2015-12-21T21:35:16Z	doi	10.7717/peerj.124
arwiki.tsv:3102085	التطور التجريبي	18820372	2016-03-11T10:17:22Z	doi	10.7287/peerj.preprints.1356v1
arwiki.tsv:3114153	تطور العناكب	19003618	2016-03-23T11:36:41Z	doi	10.7717/peerj.1719
arwiki.tsv:3147640	حفرية حية	19460533	2016-04-25T12:15:46Z	doi	10.7717/peerj.62
arwiki.tsv:3575334	أشباه الأركوصورات	23594225	2017-06-22T22:59:51Z	doi	10.7717/peerj.1778
arwiki.tsv:3711025	شبيهات الأركوصورات	23791154	2017-07-09T21:44:09Z	doi	10.7717/peerj.658
arwiki.tsv:3741234	نوتوسوكيا	23990910	2017-07-29T05:42:56Z	doi	10.7717/peerj.3481
astwiki.tsv:91786	Taxonomía	1117427	2017-09-24T10:18:47Z	doi	10.7717/peerj.175
astwiki.tsv:113190	Allosaurus	1245330	2018-02-24T13:50:51Z	doi	10.7717/peerj.940
astwiki.tsv:113192	Apatosaurus	1245332	2018-02-24T13:51:12Z	doi	10.7717/peerj.712
astwiki.tsv:113192	Apatosaurus	1245332	2018-02-24T13:51:12Z	doi	10.7287/peerj.preprints.1347v1
astwiki.tsv:113192	Apatosaurus	1245332	2018-02-24T13:51:12Z	doi	10.7717/peerj.857
bgwiki.tsv:629173	Николай Цанков (зоолог)	7620335	2016-12-16T12:32:26Z	doi	10.7717/peerj.1172
bgwiki.tsv:669570	Морски лилии	8081002	2017-09-04T17:36:01Z	doi	10.7717/peerj.1450
bnwiki.tsv:67687	ডাইনোসর	1642389	2014-06-19T02:58:59Z	doi	10.7717/peerj.36
cswiki.tsv:53630	Levhart skvrnitý	14299751	2016-11-09T14:04:13Z	doi	10.7717/peerj.1974
cswiki.tsv:105976	Tyrannosaurus	15001424	2017-05-17T12:34:40Z	doi	10.7287/peerj.preprints.852v1
cswiki.tsv:107617	Pavouci	14335973	2016-11-20T17:29:06Z	doi	10.7717/peerj.1719/fig-1
cswiki.tsv:107617	Pavouci	14335973	2016-11-20T17:29:06Z	doi	10.7717/peerj.1719
cswiki.tsv:186358	Archaeopteryx	15788883	2018-01-29T07:50:55Z	doi	10.7717/peerj.4191
cswiki.tsv:206312	Barosaurus	15461452	2017-10-16T12:42:43Z	doi	10.7717/peerj.857
cswiki.tsv:208378	Massospondylus	15745605	2018-01-15T08:15:23Z	doi	10.7717/peerj.4224
cswiki.tsv:213313	Lesothosaurus	15487769	2017-10-23T11:49:25Z	doi	10.7717/peerj.3054
cswiki.tsv:257797	Seznam dinosaurů	13467289	2016-03-18T11:49:36Z	doi	10.7717/peerj.1475
cswiki.tsv:350284	Pliosauridae	15443387	2017-10-09T07:52:47Z	doi	10.7717/peerj.1998
cswiki.tsv:408846	Tyrannosauroidea	15606827	2017-12-01T10:25:45Z	doi	10.7717/peerj.4123
cswiki.tsv:408846	Tyrannosauroidea	15810585	2018-01-31T07:24:27Z	doi	10.7287/peerj.preprints.26467v1
cswiki.tsv:419604	Ruyangosaurus	15487749	2017-10-23T11:42:03Z	doi	10.7287/peerj.preprints.2988v1
cswiki.tsv:424891	Plesiosauria	15443411	2017-10-09T08:05:32Z	doi	10.7717/peerj.1998
cswiki.tsv:438590	Rebbachisauridae	15566236	2017-11-16T10:05:20Z	doi	10.7287/peerj.preprints.3415v1
cswiki.tsv:450776	Australovenator	15487717	2017-10-23T11:31:07Z	doi	10.7717/peerj.3427
cswiki.tsv:547853	Therizinosauridae	15637704	2017-12-12T12:55:15Z	doi	10.7717/peerj.4129
cswiki.tsv:548905	Mussaurus	15594493	2017-11-27T09:34:43Z	doi	10.7717/peerj.3976
cswiki.tsv:857886	Xenoceratops	15752140	2018-01-17T07:33:52Z	doi	10.7717/peerj.4265
cswiki.tsv:1133952	Galeamopus	12870735	2015-09-06T08:35:59Z	doi	10.7717/peerj.857
cswiki.tsv:1134276	Brontosaurus (dinosaurus)	12881096	2015-09-10T13:26:03Z	doi	10.7717/peerj.857
cswiki.tsv:1138613	Bus factor	12917318	2015-09-24T12:10:29Z	doi	10.7287/peerj.preprints.1233v1
cswiki.tsv:1215504	Kalichovky	13910531	2016-07-12T06:50:25Z	doi	10.7717/peerj.1951
cswiki.tsv:1219526	Meroktenos	13977594	2016-07-31T14:14:12Z	doi	10.7717/peerj.1639
cswiki.tsv:1229445	Diplodocinae	14109523	2016-09-10T19:35:04Z	doi	10.7717/peerj.857
cswiki.tsv:1246171	Heyuannia	15604894	2017-11-30T14:43:09Z	doi	10.7717/peerj.3706
cswiki.tsv:1249173	Levhart africký	14468079	2016-12-18T19:38:40Z	doi	10.7717/peerj.1974
cswiki.tsv:1314956	PRR	15595851	2017-11-27T17:49:09Z	doi	10.7717/peerj.242
cswiki.tsv:1317253	Teihivenator	15232622	2017-08-10T14:21:45Z	doi	10.7287/peerj.preprints.3105v1
cswiki.tsv:1317262	Borealopelta	15603636	2017-11-30T08:28:54Z	doi	10.7717/peerj.4066
cswiki.tsv:1317715	Europatitan	15236777	2017-08-12T15:14:10Z	doi	10.7717/peerj.3409
cswiki.tsv:1317873	Vouivria	15238322	2017-08-13T14:15:42Z	doi	10.7717/peerj.3217
cswiki.tsv:1329679	Polyptychodon	15694493	2017-12-30T20:33:17Z	doi	10.7717/peerj.1998
cswiki.tsv:1333713	Cleveland-Lloyd Dinosaur Quarry	15500068	2017-10-24T18:10:04Z	doi	10.7717/peerj.3368
cswiki.tsv:1344275	Kunpengopterus	15613969	2017-12-04T09:19:39Z	doi	10.7717/peerj.4102
cswiki.tsv:1353927	Vlivy globálního oteplování na lidi	15713865	2018-01-05T17:02:12Z	doi	10.7717/peerj.55
cswiki.tsv:1355911	Diluvicursor	15737180	2018-01-12T08:09:02Z	doi	10.7717/peerj.4113
