langfile:page_id	page_title	rev_id	timestamp	type	id
afwiki.tsv:80934	Groenkloof-natuurreservaat	1268574	2014-06-21T16:22:57Z	doi	10.3897/zookeys.95.745
afwiki.tsv:85900	Eoraptor	1381822	2015-09-11T18:42:04Z	doi	10.3897/zookeys.63.550
afwiki.tsv:85982	Herrerasaurus	1263136	2014-06-01T16:20:15Z	doi	10.3897/zookeys.63.550
afwiki.tsv:122172	Eutheria	1559606	2017-06-11T21:45:21Z	doi	10.3897/zookeys.465.8178
arwiki.tsv:301311	مغد	23178068	2017-05-04T21:07:19Z	doi	10.3897/phytokeys.22.4041
arwiki.tsv:440879	خنفساء رواغة	26246482	2017-12-24T14:12:27Z	doi	10.3897/zookeys.107.1651
arwiki.tsv:443138	أركوستيماتا	26295059	2017-12-26T14:38:51Z	doi	10.3897/zookeys.88.807
arwiki.tsv:880733	أبريكتوصور	26272275	2017-12-24T20:08:41Z	doi	10.3897/zookeys.226.2840
arwiki.tsv:1076980	إيورابتور	6987075	2011-06-20T16:17:47Z	doi	10.3897/zookeys.63.550
arwiki.tsv:1090081	هيريراصور	7081341	2011-07-09T09:49:01Z	doi	10.3897/zookeys.63.550
arwiki.tsv:1520277	أوك (فصيلة طيور)	9949004	2012-12-09T09:53:47Z	doi	10.3897/zookeys.91.709
arwiki.tsv:1521903	خنافس طويلة القرون	9958212	2012-12-11T07:33:33Z	doi	10.3897/zookeys.88.807
arwiki.tsv:1532768	الذباب الأفعواني	10035855	2012-12-27T11:10:38Z	doi	10.3897/zookeys.204.2740
arwiki.tsv:1700590	جيوكاربي	11099499	2013-06-18T12:58:27Z	doi	10.3897/phytokeys.6.1654
arwiki.tsv:1743805	علم الأصداف	11357270	2013-08-03T22:03:07Z	doi	10.3897/zookeys.4.32
arwiki.tsv:1900715	مونو موريوم	12301944	2014-01-06T17:17:22Z	doi	10.3897/zookeys.274.4529
arwiki.tsv:2928277	ستوماتوسوكس	17314707	2015-10-26T23:10:06Z	doi	10.3897/zookeys.28.325
arwiki.tsv:3154525	انياليويدس ازولاي	19509190	2016-05-02T16:42:46Z	doi	10.3897/zookeys.277.3594
arwiki.tsv:3696010	2014 في العلوم	23702761	2017-06-30T22:51:34Z	doi	10.3897/phytokeys.34.6376
arwiki.tsv:3741158	كابروسوكس	23971715	2017-07-29T02:49:38Z	doi	10.3897/zookeys.28.325
astwiki.tsv:68411	Chiromyscus langbianis	889097	2015-11-11T11:32:48Z	doi	10.3897/zookeys.451.7210
astwiki.tsv:78617	Gymnopilus maritimus	979064	2015-12-18T10:05:20Z	doi	10.3897/BDJ.3.y5204
astwiki.tsv:83198	Tarache	1025483	2016-11-14T10:54:12Z	doi	10.3897/zookeys.39.427
astwiki.tsv:83285	Cuculliinae	1026082	2016-11-20T11:16:53Z	doi	10.3897/zookeys.40.414
astwiki.tsv:83560	Calpinae	1028279	2016-12-10T15:18:48Z	doi	10.3897/zookeys.40.414
astwiki.tsv:83564	Acontiinae	1028319	2016-12-11T10:25:34Z	doi	10.3897/zookeys.40.414
astwiki.tsv:83564	Acontiinae	1028319	2016-12-11T10:25:34Z	doi	10.3897/zookeys.39.427
astwiki.tsv:83565	Acontiini	1028322	2016-12-11T10:31:09Z	doi	10.3897/zookeys.40.414
astwiki.tsv:83565	Acontiini	1028322	2016-12-11T10:31:09Z	doi	10.3897/zookeys.39.427
astwiki.tsv:83566	Euteliinae	1028328	2016-12-11T12:12:33Z	doi	10.3897/zookeys.40.414
astwiki.tsv:83567	Bagisarinae	1028332	2016-12-11T13:23:21Z	doi	10.3897/zookeys.40.414
astwiki.tsv:83567	Bagisarinae	1028332	2016-12-11T13:23:21Z	doi	10.3897/zookeys.39.435
astwiki.tsv:83568	Dilobinae	1028336	2016-12-11T13:29:25Z	doi	10.3897/zookeys.40.414
astwiki.tsv:83569	Plusiini	1028341	2016-12-11T13:56:05Z	doi	10.3897/zookeys.40.414
astwiki.tsv:83570	Agaristinae	1028352	2016-12-11T14:35:58Z	doi	10.3897/zookeys.40.414
astwiki.tsv:83571	Noctuinae	1028366	2016-12-11T16:48:40Z	doi	10.3897/zookeys.40.414
astwiki.tsv:83572	Eublemmini	1028376	2016-12-11T17:04:47Z	doi	10.3897/zookeys.40.414
astwiki.tsv:83573	Acronictinae	1028390	2016-12-11T17:19:14Z	doi	10.3897/zookeys.40.414
astwiki.tsv:83574	Plusiinae	1028397	2016-12-11T17:28:02Z	doi	10.3897/zookeys.40.414
astwiki.tsv:83575	Argyrogrammatini	1028408	2016-12-11T18:02:58Z	doi	10.3897/zookeys.40.414
