langfile:page_id	page_title	rev_id	timestamp	type	id
afwiki.tsv:102972	Gis	1380645	2015-09-07T11:57:18Z	doi	10.3390/ijms10062763
afwiki.tsv:112296	Veganisme	1469738	2016-07-14T13:34:25Z	doi	10.3390/nu6062131
afwiki.tsv:125561	Mentol	1591756	2017-09-06T11:31:38Z	doi	10.3390/molecules20047329
afwiki.tsv:125653	Miofibril	1592949	2017-09-10T10:55:10Z	doi	10.3390/foods2040499
afwiki.tsv:125693	Lourierblaar	1593213	2017-09-10T19:53:26Z	doi	10.3390/molecules14051938
afwiki.tsv:125935	Gluten	1595702	2017-09-19T12:43:14Z	doi	10.3390/nu5114553
afwiki.tsv:126005	Antioksidant	1596572	2017-09-23T17:00:16Z	doi	10.3390/molecules21020208
angwiki.tsv:18627	Wyrtǣt	189395	2017-09-21T02:33:28Z	doi	10.3390/nu6114822
arwiki.tsv:3263	مرض فيروس إيبولا	15324594	2015-03-21T10:55:19Z	doi	10.3390/v3091634
arwiki.tsv:3263	مرض فيروس إيبولا	22639088	2017-03-03T21:11:00Z	doi	10.3390/v4091668
arwiki.tsv:3263	مرض فيروس إيبولا	15324594	2015-03-21T10:55:19Z	doi	10.3390/v3081501
arwiki.tsv:14617	طائر	20074161	2016-06-07T20:37:35Z	doi	10.3390/biology2010419
arwiki.tsv:20865	دايين	26296677	2017-12-26T15:01:14Z	doi	10.3390/11040212
arwiki.tsv:25664	انتحار	15779478	2015-04-30T11:31:44Z	doi	10.3390/ijerph9010123
arwiki.tsv:25664	انتحار	15778702	2015-04-30T08:03:01Z	doi	10.3390/ijerph9072504
arwiki.tsv:25664	انتحار	15780622	2015-04-30T15:53:17Z	doi	10.3390/ijerph9030722
arwiki.tsv:25664	انتحار	15787190	2015-05-01T07:40:12Z	doi	10.3390/ijerph8103938
arwiki.tsv:25664	انتحار	15780975	2015-04-30T17:01:54Z	doi	10.3390/ijerph9030760
arwiki.tsv:44767	طليعة منوية	26265684	2017-12-24T18:27:29Z	doi	10.3390/ijms161226214
arwiki.tsv:88723	سرطان الثدي	18120594	2016-01-27T20:17:48Z	doi	10.3390/cancers7020815
arwiki.tsv:251404	دورة حدودية	26300111	2017-12-26T15:43:40Z	doi	10.3390/systems4040037
arwiki.tsv:305616	داء الانسداد الرئوي المزمن	14408465	2014-11-23T15:37:07Z	doi	10.3390/ijerph6010209
arwiki.tsv:356643	نظام حتمي (رياضيات)	26251994	2017-12-24T15:26:24Z	doi	10.3390/systems4040037
arwiki.tsv:391660	قصور الدرقية	18056440	2016-01-18T17:50:45Z	doi	10.3390/nu4111740
arwiki.tsv:476922	القانون الثالث للثرموديناميك	26143091	2017-12-17T17:36:59Z	doi	10.3390/e10030274
arwiki.tsv:487154	منثول	20059762	2016-06-06T12:27:23Z	doi	10.3390/molecules20047329
arwiki.tsv:495244	نظام كمي مفتوح	26252344	2017-12-24T15:31:31Z	doi	10.3390/e15062100
arwiki.tsv:522841	هندسة جزيئية	26243692	2017-12-24T13:32:30Z	doi	10.3390/ijms150813849
arwiki.tsv:645007	تسمم بالرصاص	23327011	2017-05-22T08:11:42Z	doi	10.3390/ijerph7072745
arwiki.tsv:675991	التهاب القولون	26139847	2017-12-17T14:29:20Z	doi	10.3390/nu7031817
arwiki.tsv:811275	روبوتات النانو	6938298	2011-06-08T18:50:28Z	doi	10.3390/s8052932
arwiki.tsv:928369	التهاب معدي معوي	9598426	2012-09-27T01:28:30Z	doi	10.3390/ijerph8041141
arwiki.tsv:958581	نقطة كمومية	6028785	2010-11-19T21:02:22Z	doi	10.3390/ijms10020441
arwiki.tsv:1052170	مستشعر حيوي	6775581	2011-05-04T06:23:38Z	doi	10.3390/s8052932
arwiki.tsv:1066883	تعرق (مرض)	26225806	2017-12-23T23:32:34Z	doi	10.3390/v6010151
arwiki.tsv:1170205	سونداربانس	26266029	2017-12-24T18:31:44Z	doi	10.3390/rs5010224
arwiki.tsv:1201801	طرثوث	26264208	2017-12-24T18:09:56Z	doi	10.3390/nu5010149
arwiki.tsv:1451046	الآثار الصحية للفينول الطبيعي والبوليفينول	9514479	2012-09-13T11:18:06Z	doi	10.3390/ijms10125485
arwiki.tsv:1542684	دواء مكافئ	18085142	2016-01-23T15:36:13Z	doi	10.3390/ph5121393
arwiki.tsv:1637590	مستقبل الأستيل كولين	10787525	2013-04-04T15:59:10Z	doi	10.3390/ijms13022219
arwiki.tsv:1675566	انتهاء مدة الحماية المكفولة بشهادة براءة الاختراع	10966542	2013-05-14T12:08:45Z	doi	10.3390/ph5121393)
arwiki.tsv:1702637	فقد حمض المعدة	26242166	2017-12-24T13:11:11Z	doi	10.3390/ijerph10094274
arwiki.tsv:2089243	دهن فسفوري	13058337	2014-05-03T22:07:27Z	doi	10.3390/ijms14024242
arwiki.tsv:2251642	واجهة الدماغ والحاسوب	13845430	2014-08-24T16:26:14Z	doi	10.3390/s120201211
arwiki.tsv:2418339	قائمة الأنواع الهجينة الطبيعية من النابنط	14579086	2014-12-22T18:00:38Z	doi	10.3390/plants3020284
arwiki.tsv:2601992	Milk allergy	22921459	2017-04-03T01:55:02Z	doi	10.3390/nu7095380
arwiki.tsv:2727940	عصية لبنية	16102118	2015-06-07T13:21:30Z	doi	10.3390/ijerph110504745
arwiki.tsv:2840043	فينولات	16856057	2015-09-04T19:00:05Z	doi	10.3390/molecules18022328
arwiki.tsv:2843085	CCR5	16885043	2015-09-07T11:14:18Z	doi	10.3390/v6010001
arwiki.tsv:2947726	منع الخرف (الوقاية من الخرف)	17441083	2015-11-10T10:13:04Z	doi	10.3390/nu5125031
arwiki.tsv:3015887	فقدان الوزن	18693166	2016-03-07T02:09:09Z	doi	10.3390/nu5041316
arwiki.tsv:3052215	مستحضرات دوائية حيوية	18114361	2016-01-26T21:29:28Z	doi	10.3390/ph5121393
arwiki.tsv:3052445	آيسوفلافون	18115383	2016-01-27T02:56:17Z	doi	10.3390/ijms160511728
arwiki.tsv:3052973	علاج بالخلايا الجذعية	20103035	2016-06-10T10:46:18Z	doi	10.3390/v5112898
arwiki.tsv:3148777	تطعيمات فيروس الورم الحليمي البشري	19468413	2016-04-26T14:35:39Z	doi	10.3390/jcm4040614
arwiki.tsv:3169024	تفتيح البشرة	22662674	2017-03-05T22:05:48Z	doi	10.3390/ijerph8062516
arwiki.tsv:3169024	تفتيح البشرة	26656805	2018-01-11T12:39:11Z	doi	10.3390/ijms10094066
arwiki.tsv:3169024	تفتيح البشرة	22521226	2017-02-17T16:31:12Z	doi	10.3390/ijms160818384
arwiki.tsv:3189012	هوغو شيف	20018668	2016-06-03T22:40:05Z	doi	10.3390/molecules181012264
arwiki.tsv:3277942	لقاح فيروس الورم الحليمي البشري	21038252	2016-09-08T05:25:01Z	doi	10.3390/jcm4040614
arwiki.tsv:3303878	قائمة أنواع النابنط	21334823	2016-10-09T21:55:48Z	doi	10.3390/plants5020023
arwiki.tsv:3303878	قائمة أنواع النابنط	21334823	2016-10-09T21:55:48Z	doi	10.3390/plants3020284
arwiki.tsv:3469522	لييفة عضلية	22750077	2017-03-13T18:38:36Z	doi	10.3390/foods2040499
arwiki.tsv:3535456	توكسافين	22837792	2017-03-23T16:14:39Z	doi	10.3390/ijerph7103615
arwiki.tsv:3541344	تفاعل أوجي	22872916	2017-03-28T20:19:08Z	doi	10.3390/80100053
arwiki.tsv:3545491	حساسية حليب	22904658	2017-04-01T05:13:23Z	doi	10.3390/nu7095380
arwiki.tsv:3576185	تاريخ الملاريا	23141402	2017-04-29T03:08:08Z	doi	10.3390/molecules15020804
arwiki.tsv:3576185	تاريخ الملاريا	23141402	2017-04-29T03:08:08Z	doi	10.3390/molecules14125362
arwiki.tsv:3640041	فيروس محلل للورم	23350125	2017-05-26T10:25:07Z	doi	10.3390/v2020468
arwiki.tsv:3669608	بحث علاجي لمرض فيروس إيبولا	23485744	2017-06-12T14:45:41Z	doi	10.3390/v4091668
arwiki.tsv:3744492	زكام	24926714	2017-10-08T14:59:25Z	doi	10.3390/pharmacy5010004
arwiki.tsv:3752264	بكتيريا الضمة	24040385	2017-08-03T01:01:19Z	doi	10.3390/s140712104
arwiki.tsv:3758175	إستروجين نباتي	24085302	2017-08-09T00:07:33Z	doi	10.3390/toxins7083057
arwiki.tsv:3816587	الاستخدام الطبي لليود	24454843	2017-09-15T13:42:49Z	doi	10.3390/nu4111740
arwiki.tsv:3935622	تحلل حراري	25611530	2017-11-17T21:02:30Z	doi	10.3390/en8076765
arwiki.tsv:4051350	البروتينات (التغذية )	26159775	2017-12-19T09:02:26Z	doi	10.3390/nu3040442
arwiki.tsv:4210215	فينورلبين	27228158	2018-02-03T11:04:45Z	doi	10.3390/molecules17055893
arwiki.tsv:4238350	نبيت مهبلي أثناء الحمل	27463992	2018-02-17T17:01:28Z	doi	10.3390/ijerph110706979
arwiki.tsv:4248278	نيك بوراس	27534641	2018-02-26T13:48:37Z	doi	10.3390/ijerph110908624
astwiki.tsv:17949	Arroz	1245549	2018-02-24T14:16:03Z	doi	10.3390/nu5114553
astwiki.tsv:22770	Taekwondo	1132844	2017-10-07T11:23:29Z	doi	10.3390/soc4020161
astwiki.tsv:63962	Anacardium humile	860206	2015-10-28T18:10:49Z	doi	10.3390/molecules15107153
astwiki.tsv:66341	Swietenia	862610	2015-10-28T21:19:00Z	doi	10.3390/molecules180910465
astwiki.tsv:66461	Usos melecinales de los raigaños	862747	2015-10-28T21:29:53Z	doi	10.3390/molecules14072373
astwiki.tsv:66542	Wikstroemia indica	862829	2015-10-28T21:37:35Z	doi	10.3390/molecules17010598
astwiki.tsv:67730	Eryngium planum	888415	2015-11-11T10:21:16Z	doi	10.3390/molecules16087115
astwiki.tsv:73534	Suicidiu	912988	2015-11-17T19:39:23Z	doi	10.3390/ijerph8103938
astwiki.tsv:73534	Suicidiu	912988	2015-11-17T19:39:23Z	doi	10.3390/ijerph9010123
astwiki.tsv:73534	Suicidiu	912988	2015-11-17T19:39:23Z	doi	10.3390/ijerph9030722
astwiki.tsv:73534	Suicidiu	912988	2015-11-17T19:39:23Z	doi	10.3390/ijerph9030760
astwiki.tsv:73534	Suicidiu	912988	2015-11-17T19:39:23Z	doi	10.3390/ijerph9072504
astwiki.tsv:87484	Vexetarianismu	1056777	2017-07-20T22:27:29Z	doi	10.3390/nu6083259
astwiki.tsv:87484	Vexetarianismu	1056777	2017-07-20T22:27:29Z	doi	10.3390/nu8120767
astwiki.tsv:87681	Epilepsia	1057430	2017-07-21T09:48:25Z	doi	10.3390/nu7105426
astwiki.tsv:87682	Gastroenteritis	1057431	2017-07-21T09:48:32Z	doi	10.3390/ijerph8041141
astwiki.tsv:94923	Neoaves	1148069	2017-10-21T16:47:40Z	doi	10.3390/biology2010419
astwiki.tsv:94934	Anemia	1148080	2017-10-21T16:49:48Z	doi	10.3390/nu5103839
astwiki.tsv:95039	Aviespa	1245208	2018-02-24T13:36:56Z	doi	10.3390/toxins7041126
astwiki.tsv:95192	Esquizofrenia	1148339	2017-10-21T17:42:54Z	doi	10.3390/nu5103839
astwiki.tsv:102485	Allucinación	1224808	2018-02-05T08:39:35Z	doi	10.3390/nu7064966
astwiki.tsv:102665	Celiaquía	1224891	2018-02-05T09:18:44Z	doi	10.3390/nu6020575
astwiki.tsv:102665	Celiaquía	1224891	2018-02-05T09:18:44Z	doi	10.3390/nu5114553
astwiki.tsv:102665	Celiaquía	1224891	2018-02-05T09:18:44Z	doi	10.3390/nu7095350
astwiki.tsv:102665	Celiaquía	1224891	2018-02-05T09:18:44Z	doi	10.3390/nu7105426
astwiki.tsv:102665	Celiaquía	1224891	2018-02-05T09:18:44Z	doi	10.3390/nu9010046
astwiki.tsv:112995	Carotenoide	1245129	2018-02-24T13:28:24Z	doi	10.3390/nu5124849
astwiki.tsv:113001	Lactosa	1245136	2018-02-24T13:29:15Z	doi	10.3390/nu7095339
astwiki.tsv:113001	Lactosa	1245136	2018-02-24T13:29:15Z	doi	10.3390/nu7085309
astwiki.tsv:113001	Lactosa	1245136	2018-02-24T13:29:15Z	doi	10.3390/nu7095380
astwiki.tsv:113001	Lactosa	1245136	2018-02-24T13:29:15Z	doi	10.3390/nu7095340
astwiki.tsv:113095	Pterocliformes	1245233	2018-02-24T13:39:54Z	doi	10.3390/biology2010419
